Id,survived
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,1
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,0
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,1
534,0
535,0
536,1
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,0
569,1
570,1
571,0
572,0
573,0
574,1
575,1
576,0
577,0
578,0
579,1
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,0
598,1
599,1
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,1
644,1
645,0
646,1
647,0
648,1
649,0
650,1
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,0
659,1
660,1
661,0
662,1
663,0
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,1
692,0
693,1
694,0
695,0
696,0
697,1
698,0
699,0
700,1
701,0
702,1
703,1
704,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,1
713,1
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,1
735,1
736,0
737,1
738,0
739,0
740,0
741,0
742,1
743,1
744,0
745,1
746,1
747,0
748,1
749,1
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,0
776,1
777,0
778,0
779,0
780,1
781,1
782,0
783,0
784,1
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,1
846,0
847,1
848,0
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,1
877,1
878,1
879,0
880,0
881,1
882,1
883,0
884,1
885,1
886,1
887,0
888,0
889,1
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,1
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,1
910,0
911,1
912,1
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,0
921,0
922,0
923,0
924,1
925,0
926,0
927,0
928,0
929,1
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,0
975,1
976,1
977,1
978,1
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,1
993,1
994,0
995,0
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
